Page Count, Touch Count, Fault Count, Extra Faults
100000, 1074, 1074, 0
100000, 1075, 1075, 0
100000, 1076, 1076, 0
100000, 1077, 1077, 0
100000, 1078, 1078, 0
100000, 1079, 1079, 0
100000, 1080, 1080, 0
100000, 1081, 1081, 0
100000, 1082, 1082, 0
100000, 1083, 1083, 0
100000, 1084, 1084, 0
100000, 1085, 1085, 0
100000, 1086, 1086, 0
100000, 1087, 1087, 0
100000, 1088, 1088, 0
100000, 1089, 1089, 0
100000, 1090, 1090, 0
100000, 1091, 1091, 0
100000, 1092, 1092, 0
100000, 1093, 1093, 0
100000, 1094, 1094, 0
100000, 1095, 1095, 0
100000, 1096, 1096, 0
100000, 1097, 1097, 0
100000, 1098, 1098, 0
100000, 1099, 1099, 0
100000, 1100, 1100, 0
100000, 1101, 1101, 0
100000, 1102, 1102, 0
100000, 1103, 1103, 0
100000, 1104, 1104, 0
100000, 1105, 1105, 0
100000, 1106, 1106, 0
100000, 1107, 1107, 0
100000, 1108, 1108, 0
100000, 1109, 1109, 0
100000, 1110, 1110, 0
100000, 1111, 1111, 0
100000, 1112, 1112, 0
100000, 1113, 1113, 0
100000, 1114, 1114, 0
100000, 1115, 1115, 0
100000, 1116, 1116, 0
100000, 1117, 1117, 0
100000, 1118, 1118, 0
100000, 1119, 1119, 0
100000, 1120, 1120, 0
100000, 1121, 1121, 0
100000, 1122, 1122, 0
100000, 1123, 1123, 0
100000, 1124, 1124, 0
100000, 1125, 1125, 0
100000, 1126, 1126, 0
100000, 1127, 1127, 0
100000, 1128, 1128, 0
100000, 1129, 1129, 0
100000, 1130, 1130, 0
100000, 1131, 1131, 0
